kawasan,negeri,kodparlimen,namaparlimen,SPR_order,calon,parti,parti2,verified_handle,id,posts,followers,following,name,pronoun,bio,link,202111_post_count,202112_post_count,202201_post_count,202202_post_count,202203_post_count,202204_post_count,202205_post_count,202206_post_count,202207_post_count,202208_post_count,202209_post_count,202210_post_count,202211_post_count,L12M_active_min_0,L12M_active_min_1,L12M_active_min_5,L12M_active_min_10,L12M_active_min_15,L12M_active_min_20,L12M_active_min_25,L12M_active_min_30,L12M_active_min_35,L12M_active_min_40,L12M_active_min_45,L12M_active_min_50,L12M_active_min_55,L12M_active_min_60,L12M_active_min_65,L12M_active_min_70,L12M_active_min_75,L12M_active_min_80,L12M_active_min_85,L12M_active_min_90,L12M_active_min_95,L12M_active_min_100,min_monthly_posts,consistency_grade,common_word_top5,hashtag_top3,mentions_top3,location_top3
SEMENANJUNG,W.P KUALA LUMPUR,P.122,SEPUTEH,4,TERESA KOK,PAKATAN HARAPAN (PH),PH,teresakok1,19248343738.0,241.0,1896.0,143.0,Teresa Kok,,Former Minister of Primary Industries and Seputeh Member of Parliament,http://teresakok.com/,12.0,12.0,11.0,17.0,11.0,13.0,16.0,13.0,8.0,11.0,37.0,23.0,31.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0,B,"semalam, started, turned, smue, farida","#teresakok x78, #pusatkhidmatparlimenseputeh x65, #kitaboleh x6","@ngszehan x4, @dapurseputeh x3, @limguaneng x3","Kuala Lumpur, Malaysia x41, Dewan Rakyat, Parlimen Malaysia x6, Kuala Lumpur x3"
SEMENANJUNG,W.P KUALA LUMPUR,P.122,SEPUTEH,5,LEE WAI HONG,BEBAS (ARNAB),ARNAB,waihong80,251117554.0,173.0,595.0,826.0,Lee Wai Hong,,,http://youtube.com/leewaihong,2.0,11.0,16.0,8.0,6.0,1.0,2.0,5.0,5.0,5.0,11.0,4.0,4.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,C,"langgang, langganan, langau, langgan, langit",,,"Celebrity Fitness, Midvalley x6, Sandbox Coworking Space x2, Sri Petaling 大城堡 x1"
SEMENANJUNG,W.P KUALA LUMPUR,P.123,CHERAS,1,TAN KOK WAI,PAKATAN HARAPAN (PH),PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,W.P KUALA LUMPUR,P.123,CHERAS,2,CHONG YEW CHUAN,BARISAN NASIONAL (BN),BN,mike_chong_yew_chuan,1520335003.0,23.0,998.0,1024.0,Mike Chong Yew Chuan,,- MCA Spokesperson - MCA Central Committee Member - MCA Youth Central Committee Member - MCA FT Youth State Secretary - MCA Youth Wangsa Maju Chief,,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,12.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,D,"lawbinghaw, lawatsekolah, lawatpejdrjmemandangkan, lawatpejabat, lawatlah",,,"Kuala Lumpur, Malaysia x1"
SEMENANJUNG,W.P KUALA LUMPUR,P.123,CHERAS,3,RUBY CHIN,PERIKATAN NASIONAL (PN),PN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,W.P KUALA LUMPUR,P.124,BANDAR TUN RAZAK,1,DATO' SERI DR WAN AZIZAH BINTI WAN ISMAIL,PAKATAN HARAPAN (PH),PH,drwanazizah,1564614541.0,2986.0,546495.0,66.0,Dr Wan Azizah Dr Wan Ismail,,Instagram Rasmi Dato' Seri Dr Wan Azizah Wan Ismail,,24.0,45.0,23.0,24.0,74.0,20.0,20.0,16.0,25.0,37.0,22.0,40.0,72.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.0,B,"mokhtar, masyarakat, its, duta, meninggal","#JohorMemilih x28, #jagadiri x10, #JohorBangkit x5","@withregram x28, @anwaribrahim_my x26, @withrepost x14","Riyadh Restu x1, HL Dragon Fruit Eco Farm x1"
SEMENANJUNG,W.P KUALA LUMPUR,P.124,BANDAR TUN RAZAK,2,DATUK CHEW YIN KEEN,BARISAN NASIONAL (BN),BN,datukchewyinkeen,5715728492.0,237.0,653.0,314.0,Datuk Chew Yin Keen,,Bandar Tun Razak MCA Chairman  • Founder of Yayasan Pendidikan Bandar Tun Razak,http://www.facebook.com/datukykchew/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,47.0,50.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,D,"goodbye, society, pagi, pemuda, cease",,,
SEMENANJUNG,W.P KUALA LUMPUR,P.124,BANDAR TUN RAZAK,3,DATO KAMARUDIN JAFFAR,PERIKATAN NASIONAL (PN),PN,kamarudinjaffar,7486408862.0,98.0,787.0,6.0,Kamarudin Jaffar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,D,,,,
SEMENANJUNG,W.P PUTRAJAYA,P.125,PUTRAJAYA,1,TENGKU ADNAN BIN TENGKU MANSOR,BARISAN NASIONAL (BN),BN,officialkunan,454732770.0,623.0,9966.0,113.0,Tengku Adnan Tengku Mansor,,Penyandang Ahli Parlimen Putrajaya P125 Ketua UMNO Bahagian Putrajaya Twitter : @tengkuadnanreal #KetuaKampung,http://www.umnoputrajaya.com.my/,9.0,11.0,5.0,5.0,10.0,17.0,4.0,1.0,0.0,0.0,7.0,40.0,26.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,D,"mansorbendahari, parkson, retorikumno, pengacau, naifnya","#UmnoDuluKiniSelamanya x50, #BersatuBersetiaBerkhidmat x39, #UMNOSebuahPerjuangan x39",,"Putrajaya x2, Presint 8 Putrajaya x1"
SEMENANJUNG,W.P PUTRAJAYA,P.125,PUTRAJAYA,2,NORAISHAH MYDIN BINTI HAJI ABDUL AZIZ,PAKATAN HARAPAN (PH),PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,W.P PUTRAJAYA,P.125,PUTRAJAYA,3,DATO' MOHD ROSLI BIN RAMLI,PARTI PEJUANG TANAHAIR (PEJUANG),PEJUANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,W.P PUTRAJAYA,P.125,PUTRAJAYA,4,SAMSUDIN PKPKL,BEBAS (PEN),PEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,W.P PUTRAJAYA,P.125,PUTRAJAYA,5,DR. RADZI JIDIN (DRJ),PERIKATAN NASIONAL (PN),PN,radzi.jidin,6503653090.0,1095.0,51647.0,6.0,Dr. Radzi Jidin,,Menteri Kanan Pendidikan Naib Presiden Parti Pribumi Bersatu Malaysia #KemakmuranBersama,,31.0,60.0,21.0,22.0,30.0,36.0,47.0,51.0,47.0,49.0,51.0,47.0,36.0,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20.0,B,"hal, mbpk, urusan, air, mana","#DRJ x295, #KPMPrihatin x9, #NothingBeatsHardWork x8",@khairykj x2,"Putrajaya, Wilayah Persekutuan, Malaysia x7, Malacca City x4, Penang, Malaysia x1"
SEMENANJUNG,W.P PUTRAJAYA,P.125,PUTRAJAYA,6,LIM FICE BEE,BEBAS (POKOK),POKOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,NEGERI SEMBILAN,P.126,JELEBU,1,AHMAD FAKHRI,PARTI PEJUANG TANAHAIR (PEJUANG),PEJUANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,NEGERI SEMBILAN,P.126,JELEBU,2,JALALUDDIN BIN ALIAS,BARISAN NASIONAL (BN),BN,jalaluddin_alias,760313426.0,669.0,3347.0,2679.0,Jalaluddin Alias,,http://twitter.com/jalaluddinalias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,D,,,,
SEMENANJUNG,NEGERI SEMBILAN,P.126,JELEBU,3,DATO' ZULKEFLY OMAR,PAKATAN HARAPAN (PH),PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,NEGERI SEMBILAN,P.126,JELEBU,4,ZAHARUDDIN BABA SAMION,PERIKATAN NASIONAL (PN),PN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
SEMENANJUNG,NEGERI SEMBILAN,P.127,JEMPOL,1,AFFENDY SALLEH,PERIKATAN NASIONAL (PN),PN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,
